all_taxa	xyl1	xyl2	xyl3	tkl1	tal1
candida tropicalis	1	1	1	1	1
spathaspora gorwiae	1	1	1	1	1
spathaspora hagerdaliae	1	1	1	1	1
spathaspora arborariae	1	1	1	1	1
spathaspora girioi	1	1	1	1	1
spathaspora passalidarum	1	1	1	1	1
hyphopichia burtonii	1	1	1	1	1
candida gotoi	1	1	1	1	1
hyphopichia heimii	1	1	1	1	1
candida rhagii	1	1	1	1	1
lipomyces mesembrius	1	1	1	1	1
candida athensensis	1	0	1	1	1
meyerozyma guilliermondii	1	1	1	1	1
meyerozyma caribbica	1	1	1	1	1
candida oregonensis	1	1	1	1	1
candida blattae	1	1	1	1	1
tortispora starmeri	1	1	1	1	1
clavispora lusitaniae	1	0	1	1	1
candida fructus	1	0	1	1	1
candida golubevii	1	1	1	1	1
metschnikowia bicuspidata	1	1	1	1	1
candida wancherniae	1	1	1	1	1
candida hawaiiana	1	1	1	1	1
tortispora caseinolytica	1	1	1	1	1
metschnikowia bowlesiae	1	1	1	1	1
metschnikowia dekortum	1	1	1	1	1
metschnikowia kipukae	1	1	1	1	1
metschnikowia proteae	1	1	1	1	1
metschnikowia drakensbergensis	1	1	1	1	1
metschnikowia hibisci	1	1	1	1	1
metschnikowia shivogae	1	1	1	1	1
tortispora ganteri	1	1	1	1	1
metschnikowia ipomoeae	1	1	1	1	1
metschnikowia borealis	1	1	1	1	1
metschnikowia continentalis	1	1	1	1	1
metschnikowia santaceciliae	1	1	1	1	1
metschnikowia kamakouana	1	1	1	1	1
spencermartinsiella europaea	1	1	1	1	1
metschnikowia mauinuiana	1	1	1	1	1
saccharomycopsis capsularis	1	1	1	1	1
ogataea naganishii	1	1	1	1	1
ogataea methylivora	1	1	1	1	1
blastobotrys muscicola	1	1	1	1	1
ogataea ramenticola	1	1	1	1	1
pichia membranifaciens	1	1	1	1	1
pichia heedii	1	1	1	1	1
pichia nakasei	1	0	1	1	1
kregervanrija fluxuum	1	1	1	1	1
kregervanrija delftensis	1	1	1	1	1
ogataea populiabae	1	1	1	1	1
ogataea trehaloabstinens	1	1	1	1	1
blastobotrys nivea	1	1	1	1	1
